case_id,symbol,entry_time,side,order_type,lot_size,david_state_shift1,david_state_source,type3_candle_combination,bar_hour_utc,bar_spread,bar_tick_volume,content_hash
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-26T07:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,07,12,1275,9DC7686A219D22EA5FD7F27E4E9C4EEC57B4B679E8E408B60BA6889005323003
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-26T22:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,22,11,1968,3428145FDC752A1840C844A43AD038EFCF47196DCF69BCC9454FA70125476EDD
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-31T11:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,11,10,2868,4A54831EF02EF8C58882AC5598A00EF88471E9F75F05E83AE6C13EDE5B8DC31D
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-07-31T23:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,23,14,1248,6B572364B7B3CA466E28644B983AE66C70C429762518DBAF67B9F6DE76557196
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-01T18:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,18,10,4615,CE688765586B6448176E62EAE86BFE0C00B81C631EEA7D78CA2BAA9EDC65FF1E
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-02T07:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,07,11,1574,5E6CB8DA60017441D6925213FDA75B3C81AE914E825A6A4CFA074778BB05A744
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-02T13:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,13,10,2114,C3F72199B2D20DFBC2302A90623A761A2D32A2F42245379547E251E188BD60B2
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-02T20:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,20,11,1673,19DB43F19677A3F994596B02DC57EB6881968D3C6ED2EEF0419CA0AEF0C281A3
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-06T07:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,07,15,595,27E482D679E6F83F7B1FB6A7B9DF81768A001474827BAD8022CE0CCD95961382
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-09T19:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,19,10,2114,A215B5BA36F6D4E4C760B841718808CD5DB37340E3132174DC9EA976EA0204ED
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-10T00:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,00,24,1042,E4ABA7C9772E4F12B6E092FDE9DB309074794C2AC423F2208424F10FA1097F1F
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-14T10:00:00.000Z,SELL,TYPE3,0.02,UP,mt5_export_indicator_buffer,-4,10,10,3827,C201EBDD5A0BE658EEC1D9FA0F17D5C84D685449838AE23F389797BCC0FDB2E8
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-14T12:00:00.000Z,SELL,TYPE1,0.04,DOWN,mt5_export_indicator_buffer,-5,12,11,2879,C6E5D3D0FF333B9E4334908812AF51A48CFE278667B670F40D9DDAC6F62FA99C
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-15T18:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,18,10,6157,00960E45908FC21197662523D9C6B9D788975DD97F8228A7CB3ACBD7044CE9A2
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-17T23:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,23,16,801,DF95CF3485834A5F378942FE87D9EA7279A665E6DA098EE3F701AC43CEB78C8E
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-21T00:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,00,19,1384,0059458295B05239C1E3A5E216AEB8E7369CBC19E57885996033ADAE999ACA62
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-21T20:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,20,10,3478,A6CBD3B8DC2A75C45E29E10CAA953265B82A1A89E51C1148D85FA281BC81750B
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-23T10:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,10,10,3415,5E50C6649D1CA0B5584AFE974D6A3A2632406080B7414DA5A0CAD5A749C9D242
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-24T04:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,04,10,2524,29BF3A2D7D7EA5E65C832EE3D481DAB1B8BDB76CAE3100B88F264A75C047BB91
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-24T16:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,16,10,3660,27DEAFC2708EA33A68BFE1093B800C0E6DDEBC14F168F2CCF2BAD3CE253B424B
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-30T12:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,12,12,2030,F0868FE966C0A8771101D7BA0A671693CA349A333BED219215BC209DF9BBB74E
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-08-31T08:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,08,12,2001,0452A9BC1943DD530CDCFBEBABDAEEAC5B86E5D31E567AD4BC3F2536C67095D0
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-09-03T09:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,09,12,2150,B8BA2C4EFA65B730F77B46AAC2A63905811A4AF4BE2D8E0C24FEC2E223095CA8
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-09-03T17:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,17,11,2451,92D1F4B69E6687C7CC8DB24912AE25734BF2E887AFB5962E15D8D053CA1C9F81
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-09-04T16:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,16,10,3882,364C374D794AB5A0819CB2ED41842D656AF4E750EDE5BAFDE73CDBFD5422B0AF
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-09-10T04:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,04,13,2034,8C3804161104742A64DD6A35083C31D1029B022D9692AD6ED89642579A9B5228
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-09-13T04:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,04,4,2322,CC92817FEBC80D9F820BE9F7B70067DF8791FFE3704B862F93B2EEED8F52CE51
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-09-13T17:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,17,3,6112,F3DD108EDD62602F3F1BFC0C91BCCA833731E11400AED5C323A881C567C4A77D
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-09-14T09:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,09,3,2903,17E7AE753418C6566AB55956D9B1F8465D9633035E3D09FB7B8EBE4C45D1FB14
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-09-18T07:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,07,4,1698,F1A72517EA16571DD703CC300E7A17406354A1B26583EFD0B1722D1C15D401C1
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-09-24T03:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,03,4,1102,11439E1CD8D42652F89CF2760E231475A47731A237824AC88C30772E3D180FE1
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-09-24T14:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,14,3,2327,A121328970BF9302EBFE932AF75DFEA18863B5598EC23361D98176110F3C8403
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-09-26T05:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,05,3,1692,31FB5F411EBA039AF0963824022E9EBF70F29044BBD52E82D3492C7471AEFEB6
audcad_h1_12y_type1_type3_primary,AUDCAD,2018-10-08T15:00:00.000Z,BUY,TYPE3,0.02,DOWN,mt5_export_indicator_buffer,4,15,4,2728,F42B3472FFB2C5B25CDA79D59AAD0E17D27A3536194A10A8977143E40F411B16
