rule_id,rule_family,month,weeks,monthly_mtm_equity_adr,monthly_closed_adr,average_week_end_open_unrealized_adr,worst_week_end_open_unrealized_adr,cumulative_mtm_equity_snapshot_adr,monthly_mtm_win,monthly_closed_win,content_hash
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2023-12,4,51.702322,19.612391,30.320285,18.24556,2018.221863,true,true,030702D17A45299E16EE95EAB17C756D50869AA6C62A5496424E401A96BA2A07
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2024-01,5,3.363798,78.718037,-7.808676,-36.606826,2021.585661,true,true,B48C6FB2A9768222FE25FCCFBC5D1E123B9AA30CE3876C68BA4A92EE0FA1740D
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2024-02,4,-4.194457,9.545455,-56.489123,-68.258901,2017.391204,false,true,2095948612803CFC0E2443C3ED16E3285A133E53AACB29A9F6C2C6D61090A8B0
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2024-03,5,-10.002432,15.865699,-73.518691,-97.436633,2007.388772,false,true,7981E963BB9CF3E78924F8201DA6D272CB72407F891605E9A1D5EFBB706008AB
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2024-04,4,44.793351,27.823025,-71.369693,-87.939669,2052.182123,true,true,24B9E99827E82E116A777191374EAD5EC432D932047398084B264441A96EE138
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2024-05,4,-27.998088,5.18802,-91.975638,-116.376358,2024.184035,false,true,27D2426507603AA926368D839CC77A62DCA70F55B8B35109ABB9F9B6B6F23AC7
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2024-06,5,-0.91209,59.086728,-111.209627,-152.429469,2023.271945,false,true,3A0F1EEF3A03537A1000CE4743928E0724F95F5EEAAE1C1EC2FC429447537BF2
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2024-07,4,187.689489,27.891268,-86.376329,-166.213356,2210.961434,true,true,FA3024F7013E691AFC328133989A0C44C57C14CC3A3387428A8A998908B32AE4
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2024-08,4,19.503601,9.350093,21.464552,11.951137,2230.465035,true,true,B285055C7B216169544E18003C5071238BBC1EAD813C290D1F81CA352F9EC1D2
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,2024-09,5,5.91034,40.972591,-1.476161,-33.7804,2236.375375,true,true,024E52FB81A90DFD9DB812766BE9A97759F5CB1130F1A730DE09B149F66B8909
