rule_id,rule_family,base_rule_id,flip_policy,reset_ordinal_bucket,event_count,closed_adr,open_unrealized_adr,win_rate,average_win_adr,average_loss_adr,worst_loss_adr,average_adverse_excursion_adr,flip_loss_adr,final_open_loss_adr,worst_pair,worst_pair_loss_adr,content_hash
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_13,19,42.264382,0,1,2.224441,,0,-1.308152,0,0,AUDCAD,0,A4EFD0CD97F72B0DD5E3F638C14060C855F52FA67774EEC508304AC22C1D4CDC
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_14,14,30.26718,0,1,2.161941,,0,-3.186258,0,0,AUDCAD,0,E78398D722A343DEC810F486C858D718975397B4D809FDF04BF64047009DE9A3
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_15,10,21.570871,0,1,2.157087,,0,-3.746452,0,0,AUDCAD,0,45321C4C8B060C36221DD9F7B77311545E0A02F0A9E77F39E31B1D514FE4A7B6
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_16,5,28.598295,0,1,5.719659,,0,-0.43135,0,0,AUDCAD,0,1BDC93A508E8098A691CE5249737E7CBD0FE482E1B9BC27EC999F7D407FE330A
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_17,3,14.394407,0,1,4.798136,,0,-23.481376,0,0,AUDCAD,0,6EA5D19BD7CF6F1D931B0E881523D4DE8B616D2C6E5E22CD3F2EB0A874F1D656
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_18,1,1.615575,0,1,1.615575,,0,-1.385784,0,0,AUDCHF,0,B13CBE648A01085ECCB3A126A39EB02A35C93311F0F9B4A3C17D0D70CCE12468
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_19,1,14.494172,0,1,14.494172,,0,-2.765901,0,0,AUDCHF,0,66681FA50426652765A74DB2BE83DFD058A674775A4275ACEE3C6603BC65BBCE
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,initial_cycle,7866,4485.511869,-115.469376,0.991475,0.862553,-33.365693,-357.793296,-4.225528,-2235.501402,-115.469376,AUDCAD,-363.752891,D1233A3799EF171A9D0D47279AEF57BFA19E840CCABAF74C4906DC3BD728F150
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,terminal_after_reset_2,7685,6557.212511,0,1,0.853248,,0,-1.554895,0,0,AUDCAD,0,B9370289A8C5438886907393F6F48FC4F1C812FDB2918D59BEA145043CAAAC1D
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,reset_1,905,-523.940299,-265.767147,0.902331,1.267082,-17.659979,-265.786521,-29.13304,-1554.078124,-265.767147,AUDNZD,-474.69595,7692E2F3ED370B1BECD48CF15EE48126F70A0E0FE3F9F2D5D6B39200B56F78FF
