rule_id,rule_family,base_rule_id,flip_policy,flip_event_count,flip_loss_event_count,total_flip_loss_adr,total_flip_adr,average_flip_loss_adr,median_flip_loss_adr,worst_flip_loss_adr,profitable_inventory_flip_count,losing_inventory_flip_count,mixed_inventory_flip_count,average_open_state_before_flip_adr,median_reset_ordinal_at_flip,median_inventory_age_hours_at_flip,worst_pair,worst_pair_flip_adr,worst_currency,worst_currency_flip_adr,content_hash
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,43,0,0,40.334749,,,0,43,0,31,0.938017,2,79.983333,USDCHF,0.013566,USD,1.822014,FEB691A86727E6ED7C9C60F4A8F42B6D641C3F1C68B152A023D3D19B59B9E5FB
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,43,0,0,40.334749,,,0,43,0,31,0.938017,2,79.983333,USDCHF,0.013566,USD,1.822014,BE07C8A55E44D9F6CEF14D9A33B357C986BB85028CF7698D2ABDB29C63EBB278
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,122,79,-84.018696,-43.683947,-1.063528,-0.942666,-2.940061,43,79,58,-0.358065,2,94.675,EURCAD,-11.769765,EUR,-25.849569,305E7FDA4C5697B8F5E1E967855543D16B1DD4029F1B8D3390FE8E734451CC30
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,43,0,0,40.334749,,,0,43,0,31,0.938017,2,79.983333,USDCHF,0.013566,USD,1.822014,B90078A3DC8638DC8A0485A919F5BDFB2EEC89C00B01EF6D236F4FFAF28C9C19
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,58,0,0,64.247153,,,0,58,0,29,1.10771,2,80.533334,AUDCHF,0.277906,AUD,7.710036,2CD0089B05E517897995E09B9BA863DC654F5E0C85DEC08E942CF7DDB6209BF3
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,58,0,0,64.247153,,,0,58,0,29,1.10771,2,80.533334,AUDCHF,0.277906,AUD,7.710036,00F690F5A3457E594DD66891A628C192218B31DD879DAD4FC9885B4D8DF80F1C
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,179,121,-138.230157,-73.983004,-1.142398,-0.964578,-2.94759,58,121,70,-0.413313,2,87.183333,EURCAD,-11.725174,AUD,-26.155062,330855B45AC964AD7EA346ECD5B31AB4F16E411D66DC784BAB318D0A08CB575E
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,58,0,0,64.247153,,,0,58,0,29,1.10771,2,80.533334,AUDCHF,0.277906,AUD,7.710036,5B5B138DE7CAD01987041AC3E969D79E8EF1ABA4DFD9A893B121C0AAC912EBD9
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,82,0,0,88.199324,,,0,82,0,45,1.075602,2,85.683334,GBPUSD,0.245557,EUR,7.249617,4E3D4BB1055BCC3DE081119F098D3269DC155B1A5C09D86D0DC14A8F32C14E72
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,82,0,0,88.199324,,,0,82,0,45,1.075602,2,85.683334,GBPUSD,0.245557,EUR,7.249617,30FC564735F827EEF62643050D59E39E02490E03A2A4F7EBDCA5178737EFD4BC
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,229,147,-158.480469,-70.281145,-1.078098,-0.976816,-2.848655,82,147,93,-0.306905,2,89.033333,EURCAD,-11.66879,EUR,-32.93743,6CBCFFDFA3DE0EDDA8BA61DC63AB93F4BCF7C828F34A87468C935D77A343D2AA
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,82,0,0,88.199324,,,0,82,0,45,1.075602,2,85.683334,GBPUSD,0.245557,EUR,7.249617,332EA2EE53FA5995344E2DA8FF495FA261ABC8C12E31B48D2EE20977E04B5D41
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,0,0,0,0,,,0,0,0,0,,,,,,,,45E6614BB97C5AC3BF1FEBDA6C9B5CE018C1BAF08BBB60B769ABCCD5FACA2256
