variant_id,activation_rule_id,cycle_id,pair,side,close_reason,start_timestamp_utc,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,expansion_fill_count,price_pnl_adr,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,reset_ordinal_at_start,completed_reset_ordinal,max_fill_age_days,cycle_spacing_adr,triangle_trigger_key,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|29,AUDCHF,LONG,target,2022-01-12T10:13:00.000Z,2022-01-12T10:52:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.114516,0.490004,-0.06,-0.002484,0.42752,-0.058426,0.114516,15,16,0.027083,0.2,,428691FC6AE5E3A6C0A08BD288BC311B39111456512ED72328F652F13AA8DEF9
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|30,AUDCHF,LONG,target,2022-01-12T13:07:00.000Z,2022-01-12T13:31:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.116869,0.500001,-0.06,-0.001528,0.438473,-0.074796,0.116869,16,17,0.016667,0.2,,3987AD62262D4B0C5C05A4F7488369BD3ADBCD033C24059AE97E3925F40D9F7B
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|31,AUDCHF,SHORT,target,2022-01-12T13:33:00.000Z,2022-01-12T15:31:00.000Z,2022-01-10T00:00:00.000Z,2,1,0,0.013855,0.060001,-0.12,0.001361,-0.058638,-0.53668,0.065361,11,12,0.081944,0.2,,A88F293CEDCC5B1D8657926BBA6E8C30764326450DAFA801FF91910586FD2B74
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|32,AUDCHF,LONG,target,2022-01-12T15:36:00.000Z,2022-01-12T19:15:00.000Z,2022-01-10T00:00:00.000Z,3,2,0,0.468026,2,-0.18,-0.036107,1.783893,-0.668015,0.468026,17,18,0.152083,0.2,,0DFF6FC0205B04780BA15EDB85560A290ACA4C5ED0161C895A94328C9DE83AE1
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|33,AUDCHF,SHORT,session_flatten,2022-01-12T19:59:00.000Z,2022-01-12T21:00:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.016342,0.070002,-0.06,0.000424,0.010426,-0.04669,0.098049,12,,0.042361,0.2,,F4C56867AE9B011CA3182ED5C4CA3170FCD038AFB22811FC04C63B8979B7E3B4
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|34,AUDCHF,SHORT,target,2022-01-12T23:14:00.000Z,2022-01-12T23:56:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.109728,0.470001,-0.06,0.000292,0.410292,-0.011674,0.109728,12,13,0.029167,0.2,,FCB37572CAEE5F2B48320AF169F6F5F7A285D038FAD26839C7CEB6A13CC6218E
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|35,AUDCHF,SHORT,target,2022-01-13T01:06:00.000Z,2022-01-13T01:35:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.112065,0.479998,-0.06,0.000201,0.420199,-0.03969,0.112065,13,14,0.020139,0.2,,9688E7355A12D14FB39743515FFE40CD52B9B8D8B96A6F136952F157D3A7CC3C
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|36,AUDCHF,SHORT,target,2022-01-13T02:49:00.000Z,2022-01-13T06:36:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.018677,0.08,-0.06,0.001576,0.021576,-0.186771,0.0607,14,15,0.157639,0.2,,55CD793C5E958F44B10EC7E0A6960B456A72BCF7D626619E4E705A5F37E46E00
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|37,AUDCHF,SHORT,target,2022-01-13T08:11:00.000Z,2022-01-13T09:28:00.000Z,2022-01-10T00:00:00.000Z,2,1,0,0.149083,0.639997,-0.12,0.000778,0.520775,-0.410488,0.149083,15,16,0.053472,0.2,,5C7C2073287542E0FBAEEB99F7C79143A8D2B68C6A273A4D39298B52C832586D
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|38,AUDCHF,SHORT,target,2022-01-13T10:06:00.000Z,2022-01-13T10:21:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.107206,0.459999,-0.06,0.000104,0.400103,0,0.107206,16,17,0.010417,0.2,,338BBCE5A98E537EFC75DDD6AA4C5EDD6B5C080B5C15E1C058DDD034AECAEE83
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|39,AUDCHF,SHORT,target,2022-01-13T10:26:00.000Z,2022-01-13T10:51:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.097878,0.420001,-0.06,0.000174,0.360175,-0.032626,0.107201,17,18,0.017361,0.2,,70D1FD62AF996AD1A98CA9C78C919F2A9368552AFAAA815A6AFD3BC3C2F0851D
