"time","receipt_type","status","detail"
"2026.01.02 00:37:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:36:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:38:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:37:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:39:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:38:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:40:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:39:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:41:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:40:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:42:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:41:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:43:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:42:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:44:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:43:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:45:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:44:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:46:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:45:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:47:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:46:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:48:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:47:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:49:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:48:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:50:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:49:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:51:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:50:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:52:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:51:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:53:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:52:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:54:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:53:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:55:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:54:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:56:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:55:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:57:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:56:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:58:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:57:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:59:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:58:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 01:00:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:59:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 01:01:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 01:00:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 01:02:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 01:01:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 01:03:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 01:02:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 01:04:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 01:03:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 01:05:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 01:04:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
