group_type,activation_rule_id,protection_mode,origin_class,pair,side,close_reason,start_date_et,close_event_count,win_count,loss_count,win_pct,fill_count,adr_normalized_return_pct,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_realized_pnl_adr,avg_mfe_adr,avg_mae_adr_abs,avg_giveback_adr,aggregate_capture_ratio,avg_capture_ratio,mfe_1q_hit_pct,mae_1q_hit_pct,trail_addressable_loss_count,trail_no_activation_loss_count,trail_addressable_loss_pct_of_losses,trail_1q_1q_theoretical_improvement_adr,trail_1q_0_5q_theoretical_improvement_adr,content_hash
start_date_origin,david_contra,protected_flatten_1q,eod_green_leftover,,,,2019-10-11,3,2,1,66.666667,8,0.590049,0.055721,5.76,0.19,30.763179,0.196683,0.209393,1.251098,0.01271,0.939299,0.782982,33.333333,33.333333,0,1,0,0,0,08081ABD9EBE6579EB67367FE56EBC26E17BAABF35C75E9854535E0C6E43D523
start_date_origin,triangle_v1_david_contra_extension,trail_1q_0_5q,trail_captured,,,,2019-11-26,4,4,0,100,6,0.829769,0.055857,5.59,0,,0.207442,0.325767,0.214506,0.118325,0.636781,0.61491,100,50,0,0,,0,0.041078,FA1E0902DA519E557012E6B3BF80F6A1CBA975574A86D6AEEC18A7BFDD7092A5
start_date_origin,david_contra,trail_1q_0_5q,eod_green_leftover,,,,2019-09-06,4,4,0,100,4,1.445928,0.055986,5.6,0,,0.361482,0.366002,0.047242,0.00452,0.98765,0.987972,100,0,0,0,,0,0,B50B0A0589A5ED92F1E970DDF70FBB167E213DF20270A6946B5D1FB2A9B4CCA8
start_date_origin,david_contra,trail_1q_0_5q,trail_captured,,,,2019-09-13,8,8,0,100,17,1.12176,0.05609,5.61,0,,0.14022,0.277163,0.424821,0.136943,0.505912,0.460554,100,75,0,0,,0,0.295543,4C5D9493D02C8825C1D8238EBFD51BA8C3B3E652926BD03231DAC4EA7985663B
start_date_origin,triangle_v1_david_contra_extension,trail_1q_0_5q,target_captured,,,,2019-09-16,10,6,4,60,11,1.189398,0.056307,5.75,0.12,48.335993,0.11894,0.128083,0.099602,0.009143,0.928615,0.936977,20,10,0,0,0,0,0,3E7D5C10B2BC1EB9C77F66AD8D5F086002C717A9A8336D04D30AE40252ACD11E
start_date_origin,david_contra,lock_1q_stop_adds,eod_green_leftover,,,,2019-11-22,7,7,0,100,9,1.900611,0.056741,5.67,0,,0.271516,0.272632,0.168795,0.001116,0.995908,0.989775,57.142857,28.571429,0,0,,0,0,E5F2394EC636A8D32CF6D1F8897B797EEA46990C5682EF88C9F88B4E9A452600
start_date_origin,david_contra,protected_flatten_1q,eod_green_leftover,,,,2019-11-22,7,7,0,100,9,1.900611,0.056741,5.67,0,,0.271516,0.272632,0.168795,0.001116,0.995908,0.989775,57.142857,28.571429,0,0,,0,0,D31CD03691802E74AB2F83249699DB76C53EF9538C3D6772AFCB3601CDF75EB5
start_date_origin,david_contra,baseline,target_captured,,,,2019-12-25,7,7,0,100,8,1.243422,0.056931,5.69,0,,0.177632,0.177632,0.076848,0,1,1,42.857143,14.285714,0,0,,0,0,54A8CFECBC7C20856CAA3F6828731D559BDA997D51EB90206184254C77F4B732
start_date_origin,david_contra,lock_1q_stop_adds,target_captured,,,,2019-12-25,7,7,0,100,8,1.243422,0.056931,5.69,0,,0.177632,0.177632,0.076848,0,1,1,42.857143,14.285714,0,0,,0,0,9592448517E25760EB63B9F4062A9296F9B3E8A82878A335971CC02D3B1565E7
start_date_origin,david_contra,trail_1q_0_5q,target_captured,,,,2019-12-25,7,7,0,100,8,1.243422,0.056931,5.69,0,,0.177632,0.177632,0.076848,0,1,1,42.857143,14.285714,0,0,,0,0,8AEC8264FF60ABD28C02CA5A5AD6A577434FAF6715D4501712A5C15E229FD2D0
start_date_origin,david_contra,protected_flatten_1q,target_captured,,,,2019-12-25,7,7,0,100,8,1.243422,0.056931,5.69,0,,0.177632,0.177632,0.076848,0,1,1,42.857143,14.285714,0,0,,0,0,9528C143A274D35ABA33C7266A2F4EDC5B83E7547A958906FCEB05B09C0E6CEB
