group_type,activation_rule_id,protection_mode,origin_class,live_state_class,pair,side,close_reason,start_date_et,close_event_count,win_count,loss_count,win_pct,fill_count,adr_normalized_return_pct,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_realized_pnl_adr,avg_mfe_adr,avg_mae_adr_abs,avg_giveback_adr,aggregate_capture_ratio,avg_capture_ratio,mfe_1q_hit_pct,mae_1q_hit_pct,trail_addressable_loss_count,trail_no_activation_loss_count,trail_addressable_loss_pct_of_losses,trail_1q_1q_theoretical_improvement_adr,trail_1q_0_5q_theoretical_improvement_adr,content_hash
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-08-08,1,0,1,0,1,-0.201921,-0.017809,0,1.78,0,-0.201921,0.157498,0.255229,0.359419,-1.282054,-1.282054,0,0,0,1,0,0,0,525378238C61D6AB434C86983C2DF671DFC4BAA9898AE9C70D96EFD1ED0FADDF
start_date_origin,triangle_v0_no_candidate_b,baseline,adverse_no_profit,,,,,2019-06-28,1,0,1,0,1,-0.308962,-0.017715,0,1.77,0,-0.308962,0.124335,0.308962,0.433297,-2.484916,-2.484916,0,100,0,1,0,0,0,DBB24FC8825E696AEBDF7BBBA3B216F304ABF8A92F06DDBA058ADB05DEFD3E5D
start_date_origin,triangle_v0_no_candidate_b,baseline,green_to_red_giveback,,,,,2019-12-10,1,0,1,0,2,-0.18706,-0.01725,0,1.72,0,-0.18706,0.281101,0.498944,0.468161,-0.665455,-0.665455,100,100,1,0,100,0.262177,0.365169,50E7DE7C08D6C0FB49089E6DF43A2A1EE18BB9B1AEE67F313867E6EA558C06EC
start_date_origin,triangle_v0_no_candidate_b,baseline,adverse_no_profit,,,,,2019-12-27,1,0,1,0,1,-0.309032,-0.017155,0,1.72,0,-0.309032,0.129134,0.309032,0.438166,-2.393111,-2.393111,0,100,0,1,0,0,0,CA8FF421D66031A4C0ABE8CCF52CF7532A6D4D45D8BC132CAB5FFA266D70E3D5
start_date_origin,triangle_v0_no_candidate_b,baseline,adverse_no_profit,,,,,2019-06-04,2,0,2,0,4,-0.267259,-0.017067,0,1.71,0,-0.133629,0.058039,0.313565,0.191668,-2.302429,-3.823384,0,100,0,2,0,0,0,AA5EFFE5B1EE7B0332F5CE42E27BDF20BB06C1BA99D22B54DC84FA5DB0173765
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-06-19,2,0,2,0,2,-0.293847,-0.017036,0,1.7,0,-0.146923,0.053625,0.238884,0.200548,-2.739858,-2.729291,0,0,0,2,0,0,0,BA0A2CF8600D6B96CC100039C89095F3CF2997EB1EB5C83F479F890F009DAFF0
start_date_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,,,,2019-12-13,1,0,1,0,3,-0.131381,-0.01614,0,1.61,0,-0.131381,0.08331,0.897188,0.214691,-1.577014,-1.577014,0,100,0,1,0,0,0,EC8B855F476D24133CC1F99CED6CE59DDF143E64C728D4361213A6EFF2D7201A
start_date_origin,triangle_v0_no_candidate_b,baseline,adverse_no_profit,,,,,2019-12-20,1,0,1,0,1,-0.254953,-0.01547,0,1.55,0,-0.254953,0.098893,0.254953,0.353846,-2.578069,-2.578069,0,100,0,1,0,0,0,0892E0772DCB640495F11075E5CC1578F66A09CE471939109951B53447643633
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-12-13,2,0,2,0,2,-0.243599,-0.015216,0,1.52,0,-0.121799,0.099846,0.186837,0.221646,-1.219874,-2.012127,0,0,0,2,0,0,0,42C2B8A353DCB4D173E2EB489F46591681C024BE36A6991D5B2BC2184BFAE8D5
start_date_origin,triangle_v0_no_candidate_b,baseline,adverse_no_profit,,,,,2019-11-22,1,0,1,0,1,-0.257045,-0.015048,0,1.5,0,-0.257045,0.135813,0.257045,0.392858,-1.892639,-1.892639,0,100,0,1,0,0,0,42FBBA6406711CBFE2F3E3E3B17623BB0DF6CADFCF492122CA1417CBFC3BECC5
