pair,direction,entry_time,entry_price_raw,entry_price,stop,tp,exit_time,exit_price_raw,exit_price,pnl_pips,pnl_r,reason_exit,spread,slippage,session_ref_high,session_ref_low
NZDCHF,long,2021-07-23 04:45:00-04:00,0.64129,0.6413850000000001,0.64032,0.64529,2021-07-23 06:00:00-04:00,0.64238,0.6422849999999999,8.999999999997899,0.8450704225349397,time_stop,1.5,0.2,0.64236,0.64102
EURCAD,long,2021-07-23 06:00:00-04:00,1.47911,1.4792049999999999,1.4784,1.48311,2021-07-23 06:05:00-04:00,1.4789,1.4788050000000001,-3.999999999997339,-0.4968944099375918,time_stop,1.5,0.2,1.48024,1.47888
CADJPY,long,2021-07-26 03:20:00-04:00,87.672,87.68149999999999,87.576,88.072,2021-07-26 04:00:00-04:00,87.576,87.5665,-11.499999999998067,-1.0900473933648267,sl,1.5,0.2,87.974,87.652
CADCHF,long,2021-07-26 03:35:00-04:00,0.72994,0.7300350000000001,0.72917,0.73394,2021-07-26 06:00:00-04:00,0.73156,0.7314649999999999,14.299999999998203,1.6531791907510163,time_stop,1.5,0.2,0.7319,0.73017
EURCHF,long,2021-07-26 04:10:00-04:00,1.08181,1.081905,1.0813,1.08581,2021-07-26 06:00:00-04:00,1.08284,1.082745,8.40000000000174,1.3884297520664797,time_stop,1.5,0.2,1.0829,1.08203
GBPCAD,short,2021-07-27 03:15:00-04:00,1.73467,1.734575,1.73548,1.73067,2021-07-27 03:20:00-04:00,1.73548,1.7355749999999999,9.999999999998899,1.1049723756905672,sl,1.5,0.2,1.73496,1.7336
EURCHF,long,2021-07-27 05:25:00-04:00,1.08052,1.0806149999999999,1.07967,1.08452,2021-07-27 06:00:00-04:00,1.08184,1.081745,11.300000000000754,1.1957671957673088,time_stop,1.5,0.2,1.08124,1.08052
NZDJPY,long,2021-07-28 03:40:00-04:00,76.346,76.35549999999999,76.276,76.74600000000001,2021-07-28 04:15:00-04:00,76.276,76.26650000000001,-8.899999999998442,-1.1194968553457736,sl,1.5,0.2,76.574,76.311
EURAUD,long,2021-07-29 03:30:00-04:00,1.60534,1.605435,1.60426,1.60934,2021-07-29 04:10:00-04:00,1.60426,1.604165,-12.699999999998823,-1.080851063829755,sl,1.5,0.2,1.60976,1.60535
USDCHF,long,2021-07-30 05:05:00-04:00,0.9053,0.9053950000000001,0.90472,0.9093,2021-07-30 05:25:00-04:00,0.90472,0.9046249999999999,-7.7000000000015945,-1.1407407407408212,sl,1.5,0.2,0.90704,0.90541
GBPUSD,short,2021-07-30 05:35:00-04:00,1.39796,1.3978650000000001,1.39845,1.39396,2021-07-30 06:00:00-04:00,1.39674,1.396835,-10.300000000000864,-1.760683760684403,time_stop,1.5,0.2,1.39715,1.39421
USDCHF,long,2021-08-02 03:40:00-04:00,0.90568,0.9057750000000001,0.90469,0.90968,2021-08-02 05:55:00-04:00,0.90469,0.9045949999999999,-11.800000000001809,-1.0875576036866887,sl,1.5,0.2,0.9066,0.90548
GBPUSD,short,2021-08-03 04:00:00-04:00,1.39135,1.3912550000000001,1.39232,1.38735,2021-08-03 04:30:00-04:00,1.39232,1.392415,11.599999999998278,1.089201877934242,sl,1.5,0.2,1.39014,1.38869
CADCHF,long,2021-08-03 04:05:00-04:00,0.72351,0.723605,0.72276,0.72751,2021-08-03 04:50:00-04:00,0.72276,0.7226649999999999,-9.40000000000163,-1.1124260355030255,sl,1.5,0.2,0.72489,0.72326
USDCAD,short,2021-08-03 05:40:00-04:00,1.25116,1.251065,1.25232,1.24716,2021-08-03 06:00:00-04:00,1.25094,1.251035,-0.30000000000196536,-0.023904382470276007,time_stop,1.5,0.2,1.25173,1.24895
GBPUSD,short,2021-08-04 03:30:00-04:00,1.39374,1.393645,1.39456,1.38974,2021-08-04 03:35:00-04:00,1.39456,1.394655,10.099999999999554,1.103825136611974,sl,1.5,0.2,1.39333,1.39004
EURCAD,long,2021-08-04 03:55:00-04:00,1.48702,1.487115,1.4858500000000001,1.49102,2021-08-04 04:10:00-04:00,1.4858500000000001,1.4857550000000002,-13.599999999998058,-1.0750988142292233,sl,1.5,0.2,1.4888,1.48636
